No pez,ID pez,peso 3,Long,ASDA,IEDA,ASFA,IEFA,FAC,TAC,FANE,TANE,glucosa (mmol/L),lactosa (mmol/L),cortisol (ng/mL),glucosa (mmol/L),lactosa (mmol/L),cortisol (ng/mL),opercula,ojo-ojo,ojo,boca,agalla,aleta,nariz,ojo-cachete,poro-aleta,ancho,ojo-agalla,agalla-nariz,agalla-boca,c_style
29,6334B43,379,30,9,1,24,27,38,8,3,34,4.02,13.497,22.627,6.296,24.46,27.268,136,0.29,46.09,0.65,1.44,0.97,1.02,0.63,5.08,6.23,1.77,3.35,2.45,0
30,6CE407F,134,23,3,0,11,30,104,16,14,16,3.251,13.178,15.266,6.146,32.983,48.528,13,0.23,41.86,0.43,1.11,0.88,0.87,0.64,3.93,5.21,1.72,3.14,2.15,0
31,6C9A335,168,22,0,0,7,43,300,0,76,23,3.569,17.907,21.822,4.968,15.332,41.027,75,0.32,31.85,0.54,1.35,0.79,1,0.6,4.21,5.11,1.53,3.06,2.05,0
32,6CE31AE,219.5,26,0,0,0,0,237,15,1,5,4.978,14.853,36.207,5.147,28.152,46.63,59,0.33,32.93,0.35,1.09,0.85,0.8,0.43,3.87,5.06,1.51,2.77,1.95,0
33,6CE4916,184,25,1,0,27,53,186,6,6,17,5.222,20.38,28.065,5.94,34.351,29.935,19,0.24,33.27,0.5,1.61,1,0.9,0.72,4.94,6.36,1.76,3.19,2.25,1
34,6CE410F,326.5,29,27,2,15,26,7,71,133,48,5.23,18.067,33.72,5.136,25.212,24.752,6,0.43,39.32,0.75,1.21,0.92,1.15,0.83,4.93,6.13,1.99,3.68,2.46,1
35,6C99F83,63,19,0,0,14,26,7,36,115,4,5.817,20.939,54.686,7.915,30.112,57.285,13,0.25,42.43,0.61,1.71,0.83,0.79,0.56,4.35,5.82,1.57,2.92,1.97,0
36,61B3C2D,253,27,0,0,40,75,240,20,41,4,5.086,13.463,36.787,5.602,26.328,45.544,14,0.31,51.58,0.57,1.24,0.74,1.17,0.39,4.5,5.36,1.56,3.13,2.2,0
37,6CE478E,171.5,24,9,1,1,4,8,0,217,4,3.574,23.354,31.955,5.624,28.892,36.64,10,0.33,43.61,0.7,1.26,0.82,1.05,0.52,4.02,5.05,1.65,3.18,2.06,1
38,61B1008,493.6,32,17,14,4,16,20,22,100,31,1.944,14.705,13.728,4.984,24.403,33.219,37,0.37,36.51,0.31,2.08,0.94,1.05,0.78,4.41,5.81,1.6,2.96,2.16,1
39,6CE51EF,65.5,17,5,1,6,14,14,9,146,6,4.36,19.788,23.651,6.266,29.154,152.748,5,0.27,31.56,0.55,1.45,0.94,0.91,0.49,4.04,5.15,1.44,2.8,1.97,0
40,6CE2DCB,591.4,33,32,35,3,7,41,68,116,4,5.862,26.351,37.966,7.831,29.929,55.292,126,0.48,57.99,0.85,1.22,0.93,1.39,0.53,4.91,7.01,1.88,3.88,2.51,0
41,64EE874,348.5,31,9,16,12,24,300,0,199,5,3.81,30.134,24.194,6.678,47.035,74.785,2,0.5,52.4,0.75,1.34,0.9,1.09,0.52,4.64,6.1,1.88,3.52,2.41,1
42,6CE284E,222,25.5,0,0,15,38,300,0,166,17,6.577,17.133,109.101,14.944,29.724,182.257,134,0.34,38.31,0.65,1.68,0.92,0.83,0.55,4.17,5.55,1.48,2.93,2.15,0
43,6C975F7,155,24,28,2,31,64,14,61,6,9,3.432,17.133,39.598,5.008,26.921,261.527,16,0.31,33.77,0.62,1.09,0.66,1.08,0.38,4.42,5.6,1.47,2.95,2.2,0
44,6C9953F,54.4,17,2,0,5,2,177,8,300,0,4.034,18.22,21.812,5.285,24.904,45.353,8,0.38,38.95,0.62,1.07,0.74,1.07,0.46,3.98,4.86,1.55,2.99,1.95,0
45,64EAE31,183,19,0,0,16,23,199,49,211,20,2.127,12.836,19.129,5.889,27.935,45.733,6,0.41,39.9,0.6,1.14,0.74,1.08,0.43,3.89,4.67,1.55,3.08,1.86,0
46,6CE3806,122.2,21,16,4,7,12,300,0,7,38,4.544,14.626,33.464,5.367,42.202,44.005,68,0.27,44.86,0.77,1.38,1.05,0.95,0.38,4.03,5.24,1.52,3.01,2.02,0
47,6C99E9F,295,30,9,39,3,6,12,24,8,82,3.699,29.097,17.063,4.954,33.28,86.903,6,0.36,39.06,0.81,1.58,0.68,1.06,0.58,4.14,5.24,1.52,3.19,2.18,0
48,61B0DB1,137.5,23,2,0,2,2,300,0,300,0,4.17,21.292,72.419,5.455,22.42,79.64,76,0.29,36.88,0.7,1.2,0.74,1.01,0.45,3.59,4.53,1.34,2.89,1.97,0
49,6C96D61,130.7,22,20,0,2,17,17,17,3,14,4.606,29.417,12.021,4.462,23.73,46.649,70,0.22,39.29,0.45,1.01,0.95,1.06,0.38,4.26,5.37,1.23,2.84,2.02,1
50,6CE2F34,247.3,27,17,6,9,21,262,1,21,17,4.589,26.682,21.342,7.361,29.223,29.216,31,0.45,47.83,0.82,1.32,1,1.17,0.55,5.05,6.53,1.92,3.73,2.3,0
51,6CE30AE,131.5,20.5,4,2,6,14,300,0,236,2,9.037,21.064,40.478,11.155,30.716,151.547,8,0.22,42.89,0.46,1.25,0.77,0.92,0.59,4.05,5.14,1.42,3.02,1.95,0
52,6C9884B,111,19.5,4,0,20,41,34,152,137,6,5.515,26.773,23.289,2.992,21.246,41.255,8,0.35,42.97,0.6,1.09,0.82,0.87,0.49,4.11,5.13,1.52,2.9,2.09,1
53,6CE33CC,263,28,33,16,17,31,67,87,200,12,2.071,17.639,11.583,5.201,23.468,26.854,38,0.32,36.58,0.64,1.42,0.7,1.07,0.37,4.04,4.89,1.39,2.83,1.75,1
54,65A1842,61.8,18,42,11,25,31,4,143,8,15,5.145,11.525,19.975,4.681,20.243,148.474,83,0.35,36.72,0.58,1.13,0.65,0.94,0.38,3.68,4.79,1.4,2.85,1.93,0
55,6CE51FC,354.6,29,50,18,15,18,9,132,4,76,3.62,25.383,26.903,4.087,23.924,36.547,37,0.46,34.6,0.7,1.23,0.6,1.1,0.35,4.91,6.35,1.59,3.45,2.42,0
56,6CE365F,49.5,17,16,0,25,40,13,90,23,14,5.604,27.217,21.143,6.609,28.14,32.08,20,0.36,37.48,0.51,1.24,0.61,1.16,0.43,3.97,4.92,1.33,2.83,1.9,0
57,6CE4184,179,26,70,15,12,24,26,76,300,0,5.372,16.363,19.874,5.747,22.636,22.738,136,0.22,30.67,0.56,1.23,0.77,0.97,0.36,3.82,4.68,1.37,2.8,1.84,0
58,6CE31BA,44.4,16,2,2,1,2,240,2,128,34,4.768,15.776,49.223,4.713,29.882,129.244,2,0.3,41.33,0.65,1.09,0.72,0.93,0.37,3.58,4.33,1.34,2.87,1.84,0
59,6CE4DE3,58.4,17,0,0,11,29,186,3,300,0,4.604,21.702,68.814,7.956,27.73,155.99,12,0.42,45.77,0.42,1.39,0.45,1.11,0.39,4.26,5.14,1.33,2.8,1.87,0
60,6CE54D9,369,29,36,32,9,42,33,13,300,0,3.053,18.283,8.54,5.337,20.483,13.264,126,0.43,44.45,0.89,1.64,0.84,1.24,0.59,4.96,6.49,1.87,3.54,2.32,1
61,6C96AD1,217,30,33,15,6,9,300,0,6,61,1.996,12.002,23.562,4.985,27.854,123.098,118,0.45,42.55,0.7,1.63,0.77,1.19,0.49,4.21,6.23,1.65,2.99,1.96,0
